Parça No,Deneme Sayısı,Başarı,Zaman (saniye)
0,2,✓,3.231
1,1,✓,0.001
2,1,✓,0.0
3,1,✓,0.001
4,1,✓,0.001
5,1,✓,0.0
6,1,✓,0.001
7,1,✓,0.0
8,1,✓,0.001
9,1,✓,0.0
10,1,✓,0.001
11,1,✓,0.001
12,1,✓,0.001
13,1,✓,0.002
14,1,✓,0.001
15,1,✓,0.001
16,1,✓,0.0
17,1,✓,0.0
18,1,✓,0.001
19,1,✓,0.001
20,1,✓,0.0
21,1,✓,0.0
22,1,✓,0.001
23,1,✓,0.0
24,1,✓,0.0
25,1,✓,0.001
26,1,✓,0.001
27,1,✓,0.001
28,1,✓,0.001
29,1,✓,0.001
30,1,✓,0.001
31,1,✓,0.002
32,1,✓,0.003
33,1,✓,0.001
34,1,✓,0.001
35,1,✓,0.001
36,1,✓,0.001
37,1,✓,0.001
38,1,✓,0.001
39,1,✓,0.001
40,1,✓,0.0
41,1,✓,0.001
42,1,✓,0.001
43,1,✓,0.001
44,1,✓,0.001
45,1,✓,0.001
46,1,✓,0.0
47,1,✓,0.001
48,1,✓,0.0
49,1,✓,0.0
50,1,✓,0.0
51,1,✓,0.001
52,1,✓,0.0
53,1,✓,0.0
54,1,✓,0.0
55,1,✓,0.0
56,1,✓,0.001
57,1,✓,0.001
58,1,✓,0.008
59,1,✓,0.003
60,1,✓,0.001
61,1,✓,0.002
62,1,✓,0.001
63,1,✓,0.0
64,1,✓,0.001
65,1,✓,0.001
66,1,✓,0.002
67,1,✓,0.001
68,1,✓,0.003
69,1,✓,0.001
70,1,✓,0.0
71,1,✓,0.0
72,1,✓,0.001
73,1,✓,0.002
74,1,✓,0.001
75,1,✓,0.001
76,1,✓,0.001
77,1,✓,0.001
78,1,✓,0.001
79,1,✓,0.004
80,1,✓,0.002
81,1,✓,0.001
82,1,✓,0.0
83,1,✓,0.0
84,1,✓,0.0
85,1,✓,0.0
86,1,✓,0.0
87,1,✓,0.001
88,1,✓,0.0
89,1,✓,0.001
90,1,✓,0.009
91,1,✓,0.001
92,1,✓,0.001
93,1,✓,0.001
94,1,✓,0.0
95,1,✓,0.0
96,1,✓,0.0
97,1,✓,0.001
98,1,✓,0.0
99,1,✓,0.001
100,1,✓,0.0
101,1,✓,0.0
102,1,✓,0.0
103,1,✓,0.001
104,1,✓,0.001
105,1,✓,0.001
106,1,✓,0.001
107,1,✓,0.001
108,1,✓,0.0
109,1,✓,0.0
110,1,✓,0.001
111,1,✓,0.005
112,1,✓,0.001
113,1,✓,0.001
114,1,✓,0.0
115,1,✓,0.0
116,1,✓,0.0
117,1,✓,0.0
118,1,✓,0.0
119,1,✓,0.001
120,1,✓,0.0
121,1,✓,0.001
122,1,✓,0.001
123,1,✓,0.0
124,1,✓,0.001
125,1,✓,0.0
126,1,✓,0.001
127,1,✓,0.002
128,1,✓,0.001
129,1,✓,0.001
130,1,✓,0.001
131,1,✓,0.001
132,1,✓,0.0
133,1,✓,0.0
134,1,✓,0.0
135,1,✓,0.001
136,1,✓,0.001
137,1,✓,0.0
138,1,✓,0.0
139,1,✓,0.0
140,1,✓,0.0
141,1,✓,0.0
142,1,✓,0.0
143,1,✓,0.001
144,1,✓,0.0
145,1,✓,0.0
146,1,✓,0.0
147,1,✓,0.0
148,1,✓,0.008
149,1,✓,0.0
150,1,✓,0.001
151,1,✓,0.001
152,1,✓,0.001
153,1,✓,0.0
154,1,✓,0.0
155,1,✓,0.001
156,1,✓,0.001
157,1,✓,0.0
158,1,✓,0.0
159,1,✓,0.001
160,1,✓,0.001
161,1,✓,0.0
162,1,✓,0.0
163,1,✓,0.0
164,1,✓,0.0
165,1,✓,0.001
166,1,✓,0.0
167,1,✓,0.003
168,1,✓,0.002
169,1,✓,0.0
170,1,✓,0.001
171,1,✓,0.0
172,1,✓,0.001
173,1,✓,0.002
174,1,✓,0.001
175,1,✓,0.0
176,1,✓,0.0
177,1,✓,0.001
178,1,✓,0.0
179,1,✓,0.0
180,1,✓,0.0
181,1,✓,0.0
182,1,✓,0.0
183,1,✓,0.0
184,1,✓,0.0
185,1,✓,0.0
186,1,✓,0.0
187,1,✓,0.001
188,1,✓,0.001
189,1,✓,0.0
190,1,✓,0.001
191,1,✓,0.0
192,1,✓,0.001
193,1,✓,0.0
194,1,✓,0.0
195,1,✓,0.0
196,1,✓,0.0
197,1,✓,0.0
198,1,✓,0.001
199,1,✓,0.0
200,1,✓,0.001
201,1,✓,0.0
202,1,✓,0.0
203,1,✓,0.0
204,1,✓,0.0
205,1,✓,0.0
206,1,✓,0.0
207,1,✓,0.0
208,1,✓,0.003
209,1,✓,0.002
210,1,✓,0.0
211,1,✓,0.0
212,1,✓,0.001
213,1,✓,0.0
214,1,✓,0.001
215,1,✓,0.0
216,1,✓,0.0
217,1,✓,0.001
218,1,✓,0.0
219,1,✓,0.001
220,1,✓,0.001
221,1,✓,0.0
222,1,✓,0.0
223,1,✓,0.0
224,1,✓,0.001
225,1,✓,0.0
226,1,✓,0.0
227,1,✓,0.001
228,1,✓,0.0
229,1,✓,0.0
230,1,✓,0.0
231,1,✓,0.0
232,1,✓,0.002
233,1,✓,0.0
234,1,✓,0.0
235,1,✓,0.0
236,1,✓,0.0
237,1,✓,0.0
238,1,✓,0.0
239,1,✓,0.0
240,1,✓,0.0
241,1,✓,0.0
242,1,✓,0.0
243,1,✓,0.0
244,1,✓,0.0
245,1,✓,0.0
246,1,✓,0.0
247,1,✓,0.0
248,1,✓,0.0
249,1,✓,0.0
250,1,✓,0.001
251,1,✓,0.0
252,1,✓,0.0
253,1,✓,0.0
254,1,✓,0.0
255,1,✓,0.0
256,1,✓,0.0
257,1,✓,0.001
258,1,✓,0.0
259,1,✓,0.0
260,1,✓,0.0
261,1,✓,0.0
262,1,✓,0.0
263,1,✓,0.0
264,1,✓,0.0
265,1,✓,0.0
266,1,✓,0.0
267,1,✓,0.0
268,1,✓,0.0
269,1,✓,0.0
270,1,✓,0.0
271,1,✓,0.0
272,1,✓,0.0
273,1,✓,0.0
274,1,✓,0.0
275,1,✓,0.0
276,1,✓,0.0
277,1,✓,0.0
278,1,✓,0.0
279,1,✓,0.0
280,1,✓,0.0
281,1,✓,0.0
282,1,✓,0.0
283,1,✓,0.0
284,1,✓,0.0
285,1,✓,0.0
286,1,✓,0.0
287,1,✓,0.0
288,1,✓,0.0
289,1,✓,0.0
290,1,✓,0.0
291,1,✓,0.0
292,1,✓,0.0
293,1,✓,0.0
294,1,✓,0.0
295,1,✓,0.0
296,1,✓,0.0
297,1,✓,0.0
298,1,✓,0.0
299,1,✓,0.0
300,1,✓,0.0
301,1,✓,0.0
302,1,✓,0.0
303,1,✓,0.0
304,1,✓,0.0
305,1,✓,0.0
306,1,✓,0.0
307,1,✓,0.0
308,1,✓,0.0
309,1,✓,0.0
310,1,✓,0.0
311,1,✓,0.0
312,1,✓,0.001
313,1,✓,0.001
314,1,✓,0.0
315,1,✓,0.001
316,1,✓,0.001
317,1,✓,0.0
318,1,✓,0.0
319,1,✓,0.001
320,1,✓,0.0
321,1,✓,0.0
322,1,✓,0.002
323,1,✓,0.0
324,1,✓,0.003
325,1,✓,0.003
326,1,✓,0.0
327,1,✓,0.001
328,1,✓,0.001
329,1,✓,0.0
330,1,✓,0.001
331,1,✓,0.001
332,1,✓,0.005
333,1,✓,0.001
334,1,✓,0.001
335,1,✓,0.002
336,1,✓,0.0
337,1,✓,0.0
338,1,✓,0.002
339,1,✓,0.0
340,1,✓,0.0
341,1,✓,0.002
342,1,✓,0.001
343,1,✓,0.0
344,1,✓,0.002
345,1,✓,0.0
346,1,✓,0.0
347,1,✓,0.0
348,1,✓,0.002
349,1,✓,0.0
350,1,✓,0.001
351,1,✓,0.0
352,1,✓,0.001
353,1,✓,0.001
354,1,✓,0.0
355,1,✓,0.0
356,1,✓,0.001
357,1,✓,0.001
358,1,✓,0.0
359,1,✓,0.001
360,1,✓,0.0
361,1,✓,0.001
362,1,✓,0.001
363,1,✓,0.0
364,1,✓,0.0
365,1,✓,0.0
366,1,✓,0.0
367,1,✓,0.0
368,1,✓,0.0
369,1,✓,0.0
370,1,✓,0.001
371,1,✓,0.0
372,1,✓,0.001
373,1,✓,0.0
374,1,✓,0.0
375,1,✓,0.0
376,1,✓,0.001
377,1,✓,0.0
378,1,✓,0.0
379,1,✓,0.0
380,1,✓,0.0
381,1,✓,0.001
382,1,✓,0.0
383,1,✓,0.0
384,1,✓,0.0
385,1,✓,0.0
386,1,✓,0.001
387,1,✓,0.0
388,1,✓,0.0
389,1,✓,0.001
390,1,✓,0.0
391,1,✓,0.001
392,1,✓,0.0
393,1,✓,0.0
394,1,✓,0.0
395,1,✓,0.0
396,1,✓,0.0
397,1,✓,0.0
398,1,✓,0.0
399,1,✓,0.001
400,1,✓,0.0
401,1,✓,0.001
402,1,✓,0.0
403,1,✓,0.0
404,1,✓,0.0
405,1,✓,0.0
406,1,✓,0.0
407,1,✓,0.0
408,1,✓,0.0
409,1,✓,0.001
410,1,✓,0.0
411,1,✓,0.0
412,1,✓,0.0
413,1,✓,0.0
414,1,✓,0.0
415,1,✓,0.0
416,1,✓,0.0
417,1,✓,0.001
418,1,✓,0.001
419,1,✓,0.001
420,1,✓,0.001
421,1,✓,0.001
422,1,✓,0.0
423,1,✓,0.001
424,1,✓,0.0
425,1,✓,0.0
426,1,✓,0.001
427,1,✓,0.0
428,1,✓,0.003
429,1,✓,0.0
430,1,✓,0.001
431,1,✓,0.001
432,1,✓,0.001
433,1,✓,0.001
434,1,✓,0.004
435,1,✓,0.001
436,1,✓,0.001
437,1,✓,0.001
438,1,✓,0.001
439,1,✓,0.0
440,1,✓,0.0
441,1,✓,0.002
442,1,✓,0.001
443,1,✓,0.0
444,1,✓,0.002
445,1,✓,0.0
446,1,✓,0.001
447,1,✓,0.001
448,1,✓,0.001
449,1,✓,0.0
450,1,✓,0.0
451,1,✓,0.0
452,1,✓,0.002
453,1,✓,0.001
454,1,✓,0.0
455,1,✓,0.001
456,1,✓,0.0
457,1,✓,0.0
458,1,✓,0.0
459,1,✓,0.0
460,1,✓,0.002
461,1,✓,0.001
462,1,✓,0.001
463,1,✓,0.0
464,1,✓,0.0
465,1,✓,0.0
466,1,✓,0.0
467,1,✓,0.001
468,1,✓,0.0
469,1,✓,0.0
470,1,✓,0.0
471,1,✓,0.0
472,1,✓,0.001
473,1,✓,0.0
474,1,✓,0.0
475,1,✓,0.0
476,1,✓,0.0
477,1,✓,0.0
478,1,✓,0.001
479,1,✓,0.0
480,1,✓,0.0
481,1,✓,0.0
482,1,✓,0.0
483,1,✓,0.0
484,1,✓,0.0
485,1,✓,0.0
486,1,✓,0.0
487,1,✓,0.0
488,1,✓,0.0
489,1,✓,0.0
490,1,✓,0.001
491,1,✓,0.0
492,1,✓,0.0
493,1,✓,0.001
494,1,✓,0.0
495,1,✓,0.001
496,1,✓,0.0
497,1,✓,0.0
498,1,✓,0.001
499,1,✓,0.0
500,1,✓,0.0
501,1,✓,0.0
502,1,✓,0.0
503,1,✓,0.0
504,1,✓,0.0
505,1,✓,0.0
506,1,✓,0.0
507,1,✓,0.0
508,1,✓,0.0
509,1,✓,0.0
510,1,✓,0.0
511,1,✓,0.0
512,1,✓,0.0
513,1,✓,0.0
514,1,✓,0.0
515,1,✓,0.0
516,1,✓,0.0
517,1,✓,0.0
518,1,✓,0.0
519,1,✓,0.0
520,1,✓,0.0
521,1,✓,0.0
522,1,✓,0.0
523,1,✓,0.001
524,1,✓,0.0
525,1,✓,0.0
526,1,✓,0.0
527,1,✓,0.0
528,1,✓,0.0
529,1,✓,0.0
530,1,✓,0.0
531,1,✓,0.0
532,1,✓,0.0
533,1,✓,0.0
534,1,✓,0.0
535,1,✓,0.0
536,1,✓,0.0
537,1,✓,0.0
538,1,✓,0.0
539,1,✓,0.0
540,1,✓,0.0
541,1,✓,0.0
542,1,✓,0.0
543,1,✓,0.0
544,1,✓,0.0
545,1,✓,0.0
546,1,✓,0.0
547,1,✓,0.0
548,1,✓,0.0
549,1,✓,0.0
550,1,✓,0.001
551,1,✓,0.0
552,1,✓,0.0
553,1,✓,0.0
554,1,✓,0.0
555,1,✓,0.0
556,1,✓,0.0
557,1,✓,0.0
558,1,✓,0.0
559,1,✓,0.0
560,1,✓,0.0
561,1,✓,0.0
562,1,✓,0.0
563,1,✓,0.003
564,1,✓,0.0
565,1,✓,0.0
566,1,✓,0.001
567,1,✓,0.0
568,1,✓,0.001
569,1,✓,0.001
570,1,✓,0.0
571,1,✓,0.0
572,1,✓,0.0
573,1,✓,0.0
574,1,✓,0.0
575,1,✓,0.0
576,1,✓,0.0
577,1,✓,0.001
578,1,✓,0.0
579,1,✓,0.0
580,1,✓,0.0
581,1,✓,0.001
582,1,✓,0.0
583,1,✓,0.0
584,1,✓,0.0
585,1,✓,0.0
586,1,✓,0.0
587,1,✓,0.0
588,1,✓,0.0
589,1,✓,0.0
590,1,✓,0.0
591,1,✓,0.0
592,1,✓,0.0
593,1,✓,0.0
594,1,✓,0.0
595,1,✓,0.0
596,1,✓,0.0
597,1,✓,0.0
598,1,✓,0.0
599,1,✓,0.0
600,1,✓,0.0
601,1,✓,0.0
602,1,✓,0.0
603,1,✓,0.0
604,1,✓,0.0
605,1,✓,0.0
606,1,✓,0.0
607,1,✓,0.0
608,1,✓,0.001
609,1,✓,0.0
610,1,✓,0.001
611,1,✓,0.001
612,1,✓,0.0
613,1,✓,0.0
614,1,✓,0.0
615,1,✓,0.001
616,1,✓,0.0
617,1,✓,0.0
618,1,✓,0.0
619,1,✓,0.0
620,1,✓,0.001
621,1,✓,0.0
622,1,✓,0.001
623,1,✓,0.0
624,1,✓,0.0
625,1,✓,0.001
626,1,✓,0.0
627,1,✓,0.001
628,1,✓,0.0
629,1,✓,0.0
630,1,✓,0.001
631,1,✓,0.001
632,1,✓,0.0
633,1,✓,0.0
634,1,✓,0.001
635,1,✓,0.0
636,1,✓,0.0
637,1,✓,0.0
638,1,✓,0.001
639,1,✓,0.0
